System,"5k tasks, 1 s","5 k, tasks 16 s","20 k, tasks 1 s","20 k tasks, 16 s"
d-Chiron,4.95785,9.470766667,5.512583333,9.51695
Chiron,11.36838333,11.65471667,61.49271667,63.16705
